query,time,results
1,221,6
2,277,20
3,325,163
4,173,16
5,109,18
6,73,17
7,736,63
8,113,7
9,93,6
10,407,82
11,5300340,37280216
12,116,6
13,930,6
14,83,6
15,73,6
16,54,6
17,53,6
18,63,6
19,58,6
20,61,6
21,131,11
22,87,7
23,68,5
24,304,36
25,78,7
26,87,8
27,66,4
28,77,5
29,50,5
30,32,1
31,57,6
32,53,3
33,61,5
34,67,9
35,52,6
36,74,6
37,60,6
38,1595,237
39,46,5
40,59,6
41,51,7
42,54,5
43,59,7
44,67,7
45,45,7
46,57,7
47,52,7
48,699,7
49,63,4
50,40,4
51,43,4
52,55,4
53,42,4
54,43,4
55,41,4
56,30,4
57,42,4
58,6408,769
59,9294,58
60,108,37
61,89,35
62,596821,302258
63,24545,2
64,6609,336
65,49,6
66,55,6
67,1147705,172543
68,86,4
69,59,4
70,63,4
71,55,2
72,28995,22336
73,110,30
74,78,7
75,60,6
76,985,6
77,57,6
78,504,6
79,50,5
80,52,5
81,740,0
82,374,223
83,50,5
84,266,31
85,46,7
86,53,7
87,49,5
88,32,5
89,42,7
90,39,6
91,36,1
92,65,6
93,5438,30
94,16431,39
95,1180,27
96,40,5
97,264313,1
98,134394,1
99,69,4
100,184,46
101,188,18
102,20011,17700
103,52,5
104,945075,0
105,3556076,0
106,376,223
107,81,5
108,309,71
109,61,5
110,57,3
111,65,6
112,54,5
113,63,5
114,timeouted
115,127049,23050
116,7492731,2004929
117,5777722,30
118,15901290,1
119,55722820,16282320
120,timeouted
121,53145120,3247384
122,32773960,0
123,901359,4
124,timeouted
125,13759,32605
126,11021778,9282052
127,214942,528465
128,544,276
129,timeouted
130,3090953,48992
131,timeouted
132,timeouted
133,14895579,12073703
134,14414567,30986026
135,5658184,2026975
136,1429584,6236750
137,timeouted
138,8408601,229652
139,21296,25088
140,708516,781652
141,275650,105823
142,389767,152544
143,28631,39152
144,timeouted
145,779491,5554
146,45749,41592
147,7286,2714
148,339261,18830
149,16598,43405
150,19880,50972
151,88,0
152,15900642,869834
153,timeouted
154,13337968,466785
155,60038339,654777
156,9799895,11927180
157,514398,136607
158,1682,459
159,902,239
160,20639,10666
161,599900,471026
162,316398,284700
163,14517,12107
164,136,20
165,95,9
166,37202,1507
167,63,3
168,1346866,986775
169,3428212,2517306
170,2798269,195192
171,28501,23347
172,215,46
173,2810,2064
174,9688966,4200
175,206,6
176,172,19
177,68,1
178,6774,5477
179,27429,12922
180,100,7
181,19434,13954
182,619760,866185
183,2384227,2848342
184,2098947,2386166
185,18670757,9185470
186,11856357,12058592
187,183,25
188,timeouted
189,117367,112391
190,688,527
191,149406,300524
192,4879,8752
193,15045441,9185405
194,42421,64866
195,4957439,9182983
196,118357,197783
197,timeouted
198,81417,13656
199,7150,9107
200,5810243,6216457
201,timeouted
202,timeouted
203,2107959,6208030
204,529,754
205,11328474,9354941
206,660385,519474
207,timeouted
208,timeouted
209,19169,14561
210,2745,1153
211,451760,276636
212,30258757,21361840
213,23340278,9786
214,36533581,48127121
215,625684,221804
216,399,153
217,1842044,2524828
218,75573,100654
219,93272,44946
220,465911,666755
221,1890204,180561
222,96,0
223,37822,134571
224,243103,1082037
225,154276,632741
226,103526,478091
227,477420,125545
228,415446,1784863
229,126535,494541
230,3525,11046
231,237785,712839
232,timeouted
233,48848,193639
234,86434,255447
235,376755,10651
236,1770,1583
237,5161,2137
238,970,903
239,14796132,1174
240,404322,23043
241,34941,38974
242,52742,57427
243,86201,129623
244,2999,3079
245,3168,2692
246,123166,163913
247,55144,63946
248,128580,31198
249,433974,470510
250,576006,698052
251,6582,6971
252,448,267
253,638058,781475
254,33002,40411
255,14945,16737
256,215890,255719
257,407747,509196
258,498,328
259,162556,223250
260,41548,57782
261,1010,853
262,846,791
263,5584,5457
264,20310,17017
265,212550,261362
266,905775,986547
267,2551,1983
268,139,42
269,9313,1827
270,561,415
271,1045,861
272,728,570
273,10329,14544
274,6669,5924
275,259523,349595
276,94971,105025
277,5628,6131
278,19394,10685
279,3682,3665
280,1678,1514
281,8537,8841
282,15106,17465
283,4671,4895
284,265,134
285,9478,9210
286,19747,21463
287,2568,2356
288,20108,23956
289,2812,3353
290,46800035,49910283
291,53619,57426
292,5445,6660
293,6382,7348
294,32363,3078
295,28659,31197
296,419673,470509
297,1902,1783
298,9318,12106
299,7798,8277
300,63061,89382
301,9260,12385
302,85791,122621
303,1314,1591
304,204676,256853
305,20502,23955
306,51651,49734
307,timeouted
308,26824735,20661328
309,516788,43144
310,902209,90539
311,996139,803135
312,67079,59943
313,2972570,265755
314,3826841,306030
315,311944,247433
316,1769,2691
317,43671944,24493160
318,27977,8196
319,39820750,8623872
320,680,1
321,2936382,2061518
322,1286129,403869
323,166,128
324,443,965
325,20640450,1170095
326,274,107
327,581,316
328,1162,1051
329,449,383
330,250,116
331,1183,997
332,376,206
333,274,96
334,288046,329816
335,1344,1142
336,566,409
337,349,268
338,2904939,2004929
339,9823021,843968
340,415,235
341,54630732,75947148
342,5684801,26206
343,11775,13517
344,3281,3182
345,28792,28872
346,746308,843967
347,1184396,3091765
348,174,75
349,53,0
350,664022,996950
351,659948,966899
352,28744536,28337044
353,662847,903514
354,806052,966899
355,139489,386634
356,3230572,12509396
357,6085391,1697681
358,29902050,15212367
359,6761,197
360,63340,10097
361,79283,14724
362,5671,1712
363,56,0
364,67,0
365,199,53
366,timeouted
367,1348,601
368,7631,5856
369,266286,290937
370,4237,4086
371,30556,30030
372,369,239
373,73760,109029
374,987,789
375,377,269
376,1549,900
377,86,13
378,125,59
379,624,289
380,84589381,1088152
381,677,311
382,1118,891
383,171,57
384,1006,537
385,1678,1006
386,597,390
387,27349,24859
388,57929,75470
389,4774,3848
390,277,146
391,4269,3835
392,2243663,2498646
393,340,127
394,899870,122137
395,1138931,1363411
396,438,179
397,7202,5942
